idTempo,ano,mes,dia
1,2023,01,01
2,2023,01,08
3,2023,01,15
4,2023,01,22
5,2023,01,29
6,2023,02,05
7,2023,02,12
8,2023,02,19
9,2023,02,26
10,2023,03,05
11,2023,03,12
12,2023,03,19
13,2023,03,26
14,2023,04,02
15,2023,04,09
16,2023,04,16
17,2023,04,23
18,2023,04,30
19,2023,05,07
20,2023,05,14
21,2023,05,21
22,2023,05,28
23,2023,06,04
24,2023,06,11
25,2023,06,18
26,2023,06,25
27,2023,07,02
28,2023,07,09
29,2023,07,16
30,2023,07,23
31,2023,07,30
32,2023,08,06
33,2023,08,13
34,2023,08,20
35,2023,08,27
36,2023,09,03
37,2023,09,10
38,2023,09,17
39,2023,09,24
40,2023,10,01
41,2023,10,08
42,2023,10,15
43,2023,10,22
44,2023,10,29
45,2023,11,05
46,2023,11,12
47,2023,11,19
48,2023,11,26
49,2023,12,03
50,2023,12,10
