Tempo_idTempo,Hospede_idHospede,Apto_idApartamento,Produto_idProduto,Servico_idServico,quantidade,Valor_Consumo
4,12,4,2,7,1,379.57
16,7,14,1,5,3,126.89
31,4,10,4,4,5,385.78
11,20,10,2,7,3,482.71
7,19,1,5,5,7,204.36
46,7,2,10,6,4,59.93
50,10,14,10,7,2,400.15
37,2,6,9,4,6,43.79
42,11,1,7,7,8,61.71
24,15,12,3,4,3,369.56
42,9,10,9,7,8,237.79
47,19,5,6,7,4,417.06
6,9,15,8,2,8,289.23
43,13,6,1,4,6,99.1
14,12,13,5,3,5,441.36
45,9,9,1,5,4,51.95
47,14,8,9,7,4,348.4
42,16,8,1,1,5,118.58
45,8,5,10,3,8,281.2
23,14,12,9,3,6,354.4
18,10,5,4,1,4,164.62
48,18,13,3,2,4,371.92
18,19,13,9,5,5,490.45
13,10,4,6,2,5,16.93
35,5,5,1,1,9,153.15
9,16,2,1,5,5,240.0
29,11,3,1,3,8,65.9
5,13,8,2,5,1,84.35
37,10,2,4,1,9,384.58
39,20,13,10,2,9,196.39
29,10,14,10,4,5,288.63
4,20,12,2,7,4,316.5
17,3,3,4,2,9,46.78
1,14,8,10,4,5,25.99
19,10,12,8,1,4,462.72
41,19,11,4,4,2,276.84
42,5,15,5,7,3,44.99
11,10,10,10,3,8,70.93
45,10,12,7,3,9,274.59
29,3,10,1,4,6,305.82
2,3,4,10,5,1,499.79
44,9,10,1,7,3,240.55
42,15,15,5,2,10,223.58
32,3,8,6,4,6,167.32
7,6,6,7,6,8,151.23
26,18,1,8,1,6,133.68
8,13,14,9,7,1,332.25
35,15,7,1,2,9,187.27
49,16,11,8,7,1,109.74
36,5,15,5,4,8,69.5
41,20,13,4,6,3,162.27
1,18,7,2,2,2,236.11
8,5,8,5,5,5,213.59
31,16,4,8,5,3,197.96
39,17,12,3,7,2,145.36
27,11,15,9,3,1,148.59
20,19,10,8,7,3,228.81
31,12,6,9,7,9,194.83
21,7,12,4,5,7,124.45
50,14,1,6,6,8,355.56
25,13,11,3,4,1,71.86
38,11,14,2,7,8,58.86
30,1,12,3,4,3,46.67
17,11,10,7,6,2,427.36
44,18,7,6,6,8,437.47
3,20,2,4,6,5,498.74
48,3,7,2,7,2,227.4
45,10,15,1,1,6,400.11
19,12,6,7,2,4,270.27
37,6,3,3,1,10,436.71
40,8,8,10,2,4,235.96
17,15,5,1,7,8,451.59
44,18,3,2,4,6,493.95
20,14,12,5,4,5,107.62
25,16,2,4,4,10,185.89
19,10,1,7,3,1,287.31
44,2,15,10,6,8,418.09
19,8,10,6,2,4,314.24
44,5,11,2,6,1,161.38
29,2,10,6,6,3,54.17
19,11,12,7,2,4,74.76
35,12,9,9,3,3,135.92
31,10,12,6,7,2,239.48
5,5,13,4,7,7,483.96
36,12,2,7,1,5,272.92
30,12,11,5,5,7,412.98
24,4,11,4,4,1,313.58
36,11,15,10,2,2,321.35
30,10,11,7,1,3,32.22
3,10,8,2,1,4,444.76
9,13,8,6,6,9,215.37
48,5,15,7,6,2,418.51
40,14,5,1,6,6,116.46
29,8,14,6,1,6,276.79
42,12,1,7,3,4,484.42
30,3,11,4,6,10,485.84
4,11,4,3,7,10,110.55
49,18,4,10,2,4,170.99
10,20,1,5,7,3,493.89
35,9,13,3,1,1,74.58
