Hospede_idHospede,Meio_Transporte,Agencia_idAgencia,Apartamento_idApartamento,Motivo_Viagem,Tempo_idTempo,Valor_Faturado
4,2,1,12,Negócios,18,869.78
4,4,9,2,Lazer,38,343.03
7,1,4,9,Turismo,39,1154.42
18,5,7,4,Evento,29,4085.27
1,3,3,12,Evento,28,946.3
11,1,2,2,Evento,25,4267.97
20,4,5,13,Turismo,3,799.17
13,5,2,9,Evento,19,2971.29
3,3,1,11,Lazer,15,4305.53
4,3,7,5,Negócios,30,1976.87
7,1,5,12,Turismo,44,3247.9
18,4,4,3,Evento,30,4949.71
18,1,4,11,Negócios,21,4144.65
11,2,7,5,Turismo,5,4406.56
11,4,4,11,Família,32,2402.49
9,5,3,4,Turismo,48,1461.16
19,4,7,15,Evento,38,1252.74
5,1,9,8,Lazer,6,933.64
6,4,7,10,Saúde,5,3060.26
15,1,9,5,Família,36,3659.46
18,3,5,13,Lazer,42,1608.8
6,3,8,1,Turismo,47,3857.42
17,3,2,14,Família,41,2636.78
7,2,3,6,Turismo,49,4776.8
17,4,1,10,Lazer,21,736.97
12,2,5,4,Turismo,4,4745.36
3,5,8,14,Negócios,5,816.28
16,5,9,3,Turismo,17,2231.06
7,2,9,13,Família,47,1696.24
12,4,8,15,Lazer,34,1389.95
3,5,6,1,Negócios,38,3024.51
1,1,2,12,Negócios,41,523.52
2,2,6,2,Evento,33,3411.09
7,5,9,3,Turismo,47,2468.82
16,1,7,4,Família,7,2269.05
14,1,7,8,Família,47,3336.59
4,3,1,7,Lazer,47,1393.55
7,4,9,8,Negócios,9,1537.02
8,1,2,8,Lazer,36,3330.3
18,2,1,2,Negócios,49,2150.79
16,1,4,14,Negócios,26,2019.07
13,3,5,15,Saúde,30,3543.64
18,3,8,3,Negócios,13,4849.8
19,3,9,1,Lazer,48,440.68
16,2,9,15,Lazer,34,4811.74
3,1,3,2,Família,39,4336.73
13,2,2,15,Turismo,37,3053.69
20,5,2,7,Turismo,43,2709.36
9,3,4,11,Negócios,46,1474.95
5,1,5,8,Lazer,21,2399.77
19,2,2,2,Turismo,35,1472.96
12,3,2,15,Evento,16,957.18
18,5,5,10,Lazer,42,3405.74
18,1,5,15,Negócios,43,1469.44
4,3,9,3,Turismo,18,1211.02
11,3,4,11,Turismo,41,2544.95
2,3,2,11,Lazer,28,217.02
5,4,5,3,Turismo,48,3587.2
18,2,1,2,Turismo,5,372.94
12,4,10,9,Negócios,10,400.78
12,2,1,15,Família,23,1397.74
4,4,6,13,Turismo,36,3797.49
8,4,3,13,Lazer,12,1060.93
11,2,7,13,Evento,43,964.15
4,4,7,14,Negócios,3,1157.95
15,2,6,5,Lazer,15,3368.16
13,3,6,5,Evento,5,3279.11
13,1,9,6,Evento,2,1057.13
9,4,1,2,Evento,39,3697.02
11,1,7,10,Saúde,33,4517.62
7,4,5,1,Lazer,46,2695.62
18,1,4,6,Família,28,4619.7
20,3,6,11,Turismo,8,1684.57
14,3,6,7,Turismo,45,810.98
14,2,7,11,Turismo,48,2931.71
13,3,9,14,Evento,1,1208.88
19,4,10,11,Saúde,21,2322.37
7,2,9,8,Família,48,607.02
17,2,10,6,Família,6,1690.01
7,2,3,1,Saúde,3,3134.12
3,5,8,7,Negócios,41,3648.06
13,2,8,7,Família,16,3500.59
4,5,7,4,Saúde,12,441.05
8,4,2,8,Família,9,2749.43
18,4,10,6,Turismo,49,4112.03
17,4,7,14,Negócios,36,3769.55
16,2,8,5,Família,49,1531.09
17,3,8,11,Saúde,16,571.92
10,3,4,5,Turismo,22,586.77
5,2,4,7,Família,45,1226.97
14,4,7,6,Saúde,35,498.88
14,5,7,15,Família,50,293.75
19,3,7,8,Evento,1,3816.68
14,5,9,12,Turismo,48,4509.49
16,4,4,5,Lazer,28,2066.51
13,2,3,14,Turismo,30,2763.79
13,1,10,10,Lazer,43,3285.2
5,3,8,3,Saúde,4,1771.29
15,4,6,6,Evento,49,3809.65
14,4,5,14,Lazer,6,3795.32
